date,上证综指(000001.SH),沪深300(000300.SH),创业板指(399006.SZ),中证新能源(399417.SZ),中证电子(399813.SZ),国证高端装备(399967.SZ),M2同比(%),CPI同比(%)
2014-08-11,105.46447854281836,101.86784715445194,104.85977901024981,,,127.83094032025282,13.5,2.3
2014-08-12,105.31946010855285,101.51052249418385,104.75880399368944,,,128.2680391380191,13.5,2.3
2014-08-13,105.38023605910152,101.59015287827877,103.84890356585845,,,126.87430543019912,13.5,2.3
2014-08-14,104.6022375220858,100.60151302036454,103.54837911092474,,,126.14061728701358,13.5,2.3
2014-08-15,105.56308538926235,101.66483058840352,104.45970489188696,,,127.62282817273496,13.5,2.3
2014-08-18,106.16667306663024,102.26462093956101,107.18197933538033,,,129.1875960848293,13.5,2.3
2014-08-19,106.44466852218201,102.2734926859772,107.75639664726937,,,130.59000469676764,13.5,2.3
2014-08-20,106.20199138422677,101.90191293802093,107.08182952326439,,,130.36858076344288,13.5,2.3
2014-08-21,105.73962957010734,101.38959111585038,108.61798510580998,,,131.24070805696692,13.5,2.3
2014-08-22,106.23048307399256,101.86849315540458,109.65631735262411,,,132.13150264909672,13.5,2.3
2014-08-25,105.68349951905458,100.89944865972026,108.31228436845228,,,130.1409971348862,13.5,2.3
2014-08-26,104.63257809022241,100.09104306759151,105.86247742878298,,,127.75257530869058,13.5,2.3
2014-08-27,104.74441152808849,100.24190582339712,106.56690194995811,,,131.01627271708435,13.5,2.3
2014-08-28,104.09744631971279,99.5391859871196,105.31071572982206,,,128.52390603384924,13.5,2.3
2014-08-29,105.11110573830216,100.70237530243611,106.861649973781,,,132.39411098915295,13.5,2.3
2014-09-01,105.97917783697348,101.43580171732893,108.99022732882074,,,136.49030831841176,12.8,2.0
2014-09-02,107.42675478705424,102.77702889519193,109.90470389038884,,,141.8894180713481,12.8,2.0
2014-09-03,108.49725536376206,103.74077618306461,110.85293881559157,,,142.39098836587561,12.8,2.0
2014-09-04,109.36172451996717,104.4895343539,112.19127038723843,,,144.84615733401546,12.8,2.0
2014-09-05,110.28948220501972,105.48157648349812,111.76531485675577,,,146.29981118823088,12.8,2.0
2014-09-09,110.29398588310254,105.30780222723901,112.0790425827999,,,146.93489287691136,12.8,2.0
2014-09-10,109.90420439682238,104.75693568156115,112.89652011285796,,,147.692843375205,12.8,2.0
2014-09-11,109.59008470233296,104.37023951131322,113.50417065828057,,,148.16161329262232,12.8,2.0
2014-09-12,110.55107479092266,105.0121060578524,114.33740209136816,,,152.44946269491803,12.8,2.0
2014-09-15,110.8919321110825,104.96176105027695,114.48848952327938,,,154.0881469497959,12.8,2.0
2014-09-16,108.87309915155443,102.87629770824702,110.51212938005392,,,146.44061155507495,12.8,2.0
2014-09-17,109.41060127894974,103.41725890598445,110.96134067215154,,,145.6054253226782,12.8,2.0
